H_estimate,H_error,mu,sigma,T
-0.442077,0.000386436,0.793987,0.632784,0.000922198
-0.443197,0.000370521,0.794512,0.630916,0.000911589
-0.442148,0.000391901,0.795069,0.630884,0.000911589
-0.442972,0.0003823,0.794976,0.632052,0.000911589
-0.442973,0.000377488,0.795606,0.629842,0.000911589
-0.443562,0.00037304,0.795606,0.629842,0.000911589
-0.442835,0.000389844,0.795011,0.630756,0.000911589
-0.442629,0.000379837,0.79728,0.630224,0.000911589
-0.443503,0.00037986,0.799066,0.629659,0.000911589
-0.443377,0.000382702,0.799171,0.630346,0.000911589
-0.442608,0.000398214,0.798655,0.628308,0.000911589
-0.44306,0.000387565,0.799007,0.629516,0.000911589
-0.442929,0.000387609,0.799007,0.629516,0.000911589
-0.443195,0.000382958,0.801217,0.628451,0.000911589
-0.443425,0.000383066,0.802811,0.628605,0.000911589
-0.44307,0.000385268,0.801385,0.628394,0.000911589
-0.443217,0.000379934,0.800855,0.628819,0.000911589
-0.4436,0.000377589,0.800855,0.628819,0.000911589
-0.442618,0.000393692,0.801765,0.627379,0.000911589
-0.444092,0.000367053,0.800169,0.625244,0.000911589
-0.443598,0.000372169,0.800935,0.625693,0.000911589
-0.443628,0.000375406,0.802035,0.624824,0.000911589
-0.443689,0.000382189,0.802709,0.625025,0.000911589
-0.443502,0.000382439,0.802709,0.625025,0.000911589
-0.44348,0.000382875,0.802777,0.624537,0.000911589
-0.443745,0.000383911,0.803104,0.625196,0.000911589
-0.443567,0.000380023,0.803853,0.624553,0.000911589
-0.443665,0.000374725,0.80437,0.624438,0.000911589
-0.44437,0.000379069,0.803893,0.623844,0.000911589
-0.444328,0.000367429,0.803116,0.623167,0.000911589
-0.444548,0.000378555,0.8028,0.624079,0.000911589
-0.443856,0.000383774,0.8028,0.624079,0.000911589
-0.444008,0.0003723,0.803612,0.622905,0.000911589
-0.443996,0.000369451,0.803852,0.622122,0.000911589
-0.444414,0.000376492,0.803803,0.624534,0.000911589
-0.444028,0.000383165,0.803538,0.62605,0.000911589
-0.443304,0.000384915,0.803927,0.626421,0.000911589
-0.442576,0.000389222,0.805004,0.62673,0.000911589
-0.44394,0.000384489,0.805751,0.627677,0.000911589
-0.443785,0.00039227,0.805751,0.627677,0.000911589
-0.443477,0.000393445,0.803988,0.62694,0.000911589
-0.443547,0.000395941,0.804248,0.626485,0.000911589
-0.443688,0.000377026,0.805335,0.625505,0.000911589
-0.443354,0.000392455,0.807261,0.625681,0.000911589
-0.443411,0.000394654,0.809313,0.625027,0.000911589
-0.443507,0.00039471,0.809585,0.624701,0.000911589
-0.443845,0.000382688,0.809249,0.624469,0.000911589
-0.443554,0.00038816,0.810567,0.625976,0.000911589
-0.443974,0.000384404,0.810567,0.625976,0.000911589
-0.44235,0.000402814,0.811659,0.627858,0.000911589
-0.442359,0.00040398,0.811459,0.629613,0.000911589
-0.4419,0.000406708,0.81243,0.631772,0.000901102
-0.442315,0.000401569,0.812676,0.629566,0.000901102
-0.442029,0.000406477,0.812385,0.628784,0.000901102
-0.443262,0.000402873,0.811941,0.628058,0.000901102
-0.442991,0.000398773,0.812198,0.626748,0.000901102
-0.442843,0.000402828,0.811775,0.627019,0.000901102
-0.442723,0.000407687,0.813171,0.627867,0.000901102
-0.443151,0.00040302,0.813667,0.629009,0.000901102
-0.441961,0.000408693,0.815343,0.627934,0.000901102
-0.44272,0.000404824,0.815343,0.627934,0.000901102
-0.4418,0.000408987,0.8159,0.627424,0.000901102
-0.442766,0.000405871,0.8159,0.627424,0.000901102
-0.443185,0.000400864,0.817466,0.62691,0.000901102
-0.441528,0.000411881,0.817862,0.627283,0.000901102
-0.442504,0.000402191,0.817862,0.627283,0.000901102
-0.44233,0.000397758,0.816199,0.626665,0.000901102
-0.443067,0.000403791,0.816199,0.626665,0.000901102
-0.441747,0.000410838,0.817614,0.628115,0.000901102
-0.442724,0.000400423,0.818326,0.627492,0.000901102
-0.442107,0.000411859,0.818868,0.62803,0.000901102
-0.441931,0.000416783,0.81852,0.628685,0.000901102
-0.441841,0.000413942,0.819696,0.629423,0.000901102
-0.441445,0.00041197,0.820463,0.629124,0.000901102
-0.440899,0.000421214,0.820574,0.629796,0.000901102
-0.440618,0.000426118,0.820137,0.629384,0.000901102
-0.441773,0.000402433,0.82019,0.627528,0.000901102
-0.442126,0.000407218,0.819091,0.62567,0.000901102
-0.441431,0.000422451,0.819433,0.628345,0.000901102
-0.441354,0.000408081,0.819713,0.629012,0.000901102
-0.441508,0.000414264,0.818851,0.627934,0.000901102
-0.442219,0.000404912,0.819892,0.626556,0.000901102
-0.441432,0.000408174,0.821293,0.626756,0.000901102
-0.442325,0.000389784,0.820009,0.625687,0.000901102
-0.442047,0.000400119,0.819284,0.626205,0.000901102
-0.441696,0.000405489,0.819939,0.625996,0.000901102
-0.442061,0.00041928,0.819177,0.62579,0.000901102
-0.442281,0.000402006,0.819177,0.62579,0.000901102
-0.442025,0.000417763,0.819177,0.62579,0.000901102
-0.441758,0.000413259,0.820734,0.625702,0.000901102
-0.441481,0.000415706,0.821421,0.625287,0.000901102
-0.44157,0.000407285,0.821421,0.625287,0.000901102
-0.441462,0.000420251,0.821331,0.62758,0.000901102
-0.44145,0.000409737,0.821331,0.62758,0.000901102
-0.441495,0.000417722,0.821431,0.627724,0.000901102
-0.441903,0.000414826,0.821431,0.627724,0.000901102
-0.441249,0.000415372,0.821778,0.626045,0.000901102
-0.441375,0.0004157,0.820492,0.625347,0.000901102
